;CAMPO;POWER STATION;INVERSOR;inactivityTimeout;CAJA STRING;EUI;Nº Chekness;HARNESS;CANAL 1;CANAL 2;CANAL 3;CANAL 4;UBICACIÓN;FECHA HORA
1;PRUEBA;1;1;86400000;1;0004a30b01078695;399;1;1;2;3;4;41.306311206146546, -4.944586104416338;
2;PRUEBA;1;1;86400000;1;0004a30b010787b4;395;2;1;2;3;4;41.30630011421886, -4.94471916398633;
3;PRUEBA;1;1;86400000;1;0004a30b01078958;398;3;1;2;3;4;41.306304931640625, -4.944897072277219;
4;PRUEBA;1;1;86400000;1;0004a30b0107895e;397;4;1;2;3;4;41.30630464352901, -4.945026235105604;
5;PRUEBA;1;1;86400000;2;0004a30b01078993;396;1;1;2;3;4;41.30633019690986, -4.945218984449419;
